Label,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,GEORGIA,CONNECTICUT,DELAWARE,FLORIDA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
        Under 5 years,290 091,46 198,402 255,179 924,2 210 235,625 969,177 577,53 039,1 091 954,81 220,113 051,703 551,408 030,187 257,177 567,259 278,281 958,61 034,350 650,346 175,545 979,330 734,173 282,353 946,56 091,124 596,177 077,62 220,516 200,115 102,1 092 698,582 801,51 150,668 935,241 605,210 330,678 078,52 767,275 793,58 079,397 258,1 891 627,234 281,27 160,480 992,432 524,88 784,315 264,30 233
        5 to 9 years,298 540,52 071,446 309,196 276,2 358 988,665 082,196 796,58 410,1 146 199,83 657,129 930,786 184,427 997,201 486,192 659,278 095,296 065,69 073,374 919,365 253,585 574,359 171,176 878,375 051,67 195,131 276,190 763,67 409,551 684,129 840,1 107 024,617 727,51 932,716 330,266 404,234 955,723 022,55 659,308 096,63 078,425 066,2 055 807,264 290,30 530,514 219,467 851,97 530,344 082,36 056
        10 to 14 years,337 730,52 507,476 245,204 485,2 647 372,777 105,212 689,59 908,1 291 404,91 875,142 097,805 013,469 282,216 296,209 418,299 116,320 217,73 257,397 263,401 988,632 071,388 627,217 287,412 491,70 386,144 006,208 610,78 890,592 878,142 722,1 192 942,689 760,51 739,758 004,282 920,260 324,796 302,61 626,330 103,62 294,445 462,2 206 526,277 848,37 604,559 020,492 114,110 454,384 146,41 288
        15 to 19 years,338 347,50 263,482 998,206 963,2 579 680,771 330,244 686,63 288,1 245 029,76 899,138 443,843 352,472 765,225 888,209 868,306 094,302 036,76 221,390 410,460 404,656 015,376 524,215 082,411 180,68 883,137 800,189 336,85 699,579 783,145 753,1 216 068,709 711,52 465,771 242,277 643,255 395,819 892,74 948,351 834,63 224,449 515,2 136 373,270 529,41 810,570 825,463 399,108 222,388 505,40 161
        20 to 24 years,323 961,45 855,488 212,200 480,2 531 692,725 809,239 473,57 635,1 244 420,86 215,119 836,802 672,468 280,224 891,202 937,288 944,306 585,77 584,378 627,476 148,659 277,353 592,199 269,388 885,74 958,133 478,185 379,86 456,552 158,131 911,1 240 087,705 531,60 923,747 533,278 178,254 516,784 817,77 146,326 481,58 324,443 384,2 012 920,280 300,45 761,574 546,481 655,112 530,387 572,35 717
        25 to 34 years,633 583,112 341,1 000 536,384 776,5 827 869,1 464 846,450 863,128 564,2 738 541,197 767,246 440,1 705 429,882 725,390 807,376 531,582 979,610 641,165 666,816 525,979 614,1 314 354,742 562,356 944,800 642,139 869,252 836,451 763,178 294,1 185 697,279 475,2 793 961,1 376 664,110 330,1 539 983,529 075,595 688,1 694 898,147 146,660 935,110 211,939 035,4 239 952,485 796,76 472,1 156 787,1 165 183,201 957,737 899,70 511
        35 to 44 years,637 640,102 955,915 424,383 984,5 414 686,1 448 368,451 126,122 088,2 728 862,190 893,253 434,1 684 439,871 732,408 966,378 985,573 400,621 977,167 449,829 291,899 535,1 214 574,770 652,383 035,796 300,140 486,258 269,433 819,166 486,1 223 127,273 961,2 556 851,1 350 937,100 570,1 460 736,528 611,594 829,1 613 651,137 307,651 268,112 477,901 748,4 142 711,467 144,78 268,1 178 430,1 100 352,222 511,747 903,80 122
        45 to 54 years,618 370,82 460,850 341,356 752,4 928 928,1 398 844,462 437,115 300,2 717 108,169 360,216 442,1 586 115,818 064,355 466,326 873,552 306,527 337,170 699,786 155,875 663,1 222 520,669 001,355 047,717 744,120 361,216 069,396 966,178 476,1 217 153,235 029,2 464 191,1 353 447,78 905,1 424 952,448 649,522 034,1 574 763,133 337,623 044,94 783,871 706,3 627 516,358 090,77 822,1 079 930,927 446,222 071,702 240,65 531
        55 to 59 years,333 592,42 971,423 315,195 773,2 446 661,679 360,257 827,67 381,1 468 809,88 407,109 604,820 153,423 628,194 787,175 846,298 504,288 103,103 180,415 779,483 826,673 468,368 617,178 469,392 898,68 791,118 788,194 327,104 919,651 896,126 728,1 328 662,675 797,44 083,766 138,234 480,252 441,874 553,72 482,336 553,52 978,444 101,1 694 061,155 329,46 986,558 828,466 800,120 035,413 935,33 776
        60 to 64 years,342 214,46 642,456 696,191 325,2 327 199,657 166,262 951,76 220,1 509 806,92 693,117 636,831 252,447 903,219 654,194 222,302 262,302 798,110 983,422 127,479 670,723 695,388 638,197 727,434 282,79 953,123 741,196 383,112 402,632 933,143 559,1 366 092,692 418,49 011,823 595,253 900,275 747,939 177,82 991,359 375,62 045,470 589,1 628 037,156 248,49 984,562 217,489 728,130 090,420 115,41 586
